,precision,recall,f1-score,support
crazing,1.0,0.9833333333333333,0.9915966386554622,60.0
inclusion,0.9523809523809523,1.0,0.975609756097561,60.0
patches,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
pitted,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
rolled-in,1.0,1.0,1.0,60.0
scratches,1.0,0.9666666666666667,0.9830508474576272,60.0
accuracy,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112
macro avg,0.9865079365079366,0.9861111111111112,0.9861539848128862,360.0
weighted avg,0.9865079365079364,0.9861111111111112,0.9861539848128861,360.0
